,HYBAS_ID,cluster
0,3100876750,2
1,3100420340,2
2,2100232490,0
3,2100234100,1
4,3100421750,0
5,3100421360,2
6,3100014040,2
7,3100424660,2
8,2100233830,1
9,2101057110,1
10,2100233710,1
11,2100235160,2
12,3100875610,2
13,2101057180,2
14,2100233540,1
15,3100425400,2
16,2100232800,0
17,3100419910,0
18,3100874180,2
19,3100422960,1
20,3100422760,1
21,2101057010,0
22,3100419590,0
23,2101057060,1
24,2101057090,1
25,3100424270,2
26,2100230160,1
27,3100418260,0
28,3100424440,2
29,3100421980,1
30,3100873660,2
31,3100419730,2
32,2100231580,1
33,2100231430,1
34,3100875130,2
35,3100874990,0
36,2100231450,0
37,2100231590,1
38,2101056220,1
39,2100233180,1
40,3100422990,0
41,3100423560,2
42,3100872740,2
43,3100874290,0
44,3100874090,2
45,2100232560,1
46,2100230690,1
47,3100417050,2
48,2100230540,0
49,3100422670,0
50,2100232640,0
51,2101056680,1
52,2100232610,1
53,3100420220,0
54,2100232390,1
55,3100873770,1
56,3100415000,0
57,3100421140,2
58,3100873250,2
59,3100417040,2
60,3100423080,1
61,3100416220,1
62,2100231980,0
63,3100415470,0
64,2100231070,1
65,2100229980,0
66,2100231210,0
67,3100872090,2
68,3100413910,2
69,3100415790,2
70,3100873330,2
71,3100419310,2
72,3100872670,2
73,3100873000,2
74,2100231390,0
75,3100413480,1
76,2100231510,1
77,3100419300,2
78,3100872340,1
79,3100873680,2
80,3100422780,1
81,3100413750,1
82,2101056000,2
83,3100410040,0
84,2101055360,1
85,2101055390,0
86,2100230270,1
87,3100412290,2
88,3100871740,0
89,3100410900,2
90,3100417530,2
91,2101055600,1
92,3100413380,2
93,2100229950,0
94,3100411380,0
95,3100410730,2
96,3100871500,0
97,3100417300,2
98,3100416900,2
99,2100228120,0
100,3100415770,2
101,2100229890,0
102,2100228450,0
103,3100411230,2
104,3100871130,1
105,2100228980,1
106,3100408610,0
107,3100870900,2
108,3100410720,2
109,3100411820,2
110,2100227640,0
111,3100410220,1
112,3100413510,2
113,3100408400,0
114,3100870940,2
115,3100411240,0
116,3100409390,2
117,2100227990,1
118,3100869550,2
119,3100410560,2
120,2101054310,0
121,3100410180,2
122,3100406600,2
123,3100405290,2
124,3100013860,2
125,3100869000,0
126,2100227520,0
127,3100408960,2
128,3100405040,0
129,3100409140,2
130,2100227980,1
131,3100408970,2
132,3100868310,2
133,3100869460,2
134,3100408070,1
135,3100402900,2
136,3100403610,2
137,2101054320,0
138,2100227020,0
139,3100013610,2
140,2100227290,0
141,2101053930,0
142,2100224920,1
143,3100402910,2
144,2100224000,0
145,2100223350,0
146,3100400140,2
147,3100867700,2
148,3100404890,0
149,2100227100,0
150,3100401420,2
151,3100401560,2
152,2100226810,1
153,3100402730,2
154,2101054000,1
155,3100402110,2
156,2100225760,1
157,2100225880,1
158,2100224900,2
159,3100402720,2
160,2101053630,1
161,2101053860,1
162,3100396860,0
163,2100225040,0
164,2100224640,1
165,2101053510,1
166,2100225300,0
167,2100224540,0
168,2101053530,1
169,2101052920,0
170,8100276640,2
171,2100222450,1
172,2100222510,1
173,2100222370,0
174,2101052460,1
175,2100220830,0
176,2100219600,0
177,2100221450,0
178,2100221090,1
179,2100221620,1
180,2100218750,0
181,2100220850,1
182,2100220210,0
183,2101051560,1
184,2100220320,0
185,2100220410,1
186,2100216660,0
187,2100220330,0
188,2101051130,0
189,2100217110,0
190,2100220180,0
191,2100216960,1
192,2100215220,0
193,2100215210,1
194,2100217040,0
195,2100216840,1
196,2100215140,1
197,2100214250,0
198,2100214380,0
199,2101049120,0
200,2100211810,0
201,2100215430,1
202,2100214240,0
203,2101049220,0
204,2100212460,0
205,2100211440,0
206,2100214180,0
207,2101048310,0
208,2100211380,0
209,2100213130,1
210,2100212440,0
211,2100210920,0
212,2100210200,0
213,2100212510,2
214,2101048260,2
215,2100209390,0
216,2100211760,0
217,2101047720,0
218,2100210130,0
219,2100208300,0
220,2100208630,0
221,2100207770,0
222,2100207970,2
223,2101047400,0
224,2100207910,2
225,2100208510,0
226,2101046620,0
227,3100018540,2
228,2100206380,0
229,2100204230,0
230,2100206190,0
231,2100203690,0
232,2100202380,0
233,2100204180,0
234,2100201530,0
235,2100202450,0
236,2101044420,0
237,2100198270,0
238,8100005540,2
239,3100012230,2
240,3100012210,2
241,3100012190,2
242,8100006180,2
243,8100006260,2
244,8100006780,2
245,3100116760,2
246,3100009600,2
247,3100009170,2
248,3100009120,2
249,3100051770,2
250,3100051590,2
251,3100008670,2
252,3100008300,2
253,3100008540,2
254,3100008970,2
